Population 2018 rank,Name,State,Population 2018 estimate,Population 2010 census,"Change(%,2010-2018)",Land area 2016(sqmi),Land area 2016(km2),Population density 2016(sqmi),Population density 2016(km2),"Location(N,W)",Elevation,Mayor,Time zone,Website,Area code,Demonym,male-female percentage,median household income,mean_housing_price,living index
1,New York City,New York,8398748,8175133,2.74,301.5,780.92,28317,109332,"40.6635N,73.938W",33 ft (10 m),Bill de Blasio (D),UTC−05:00 (EST),https://www.nyc.gov/,36-51000,New Yorker,(47.7%)(52.3%)," $58,856 "," $778,606 ", 164.6 
2,Los Angeles,California,3990456,3792621,5.22,468.7,1213.92,8484,32762,"34.0194N,118.410W",305 ft (93 m),Eric Garcetti (D),UTC−08:00 (Pacific),https://www.lacity.org/,06-44000,Angeleno,(49.3%)(50.7%)," $54,432 "," $809,839 ", 142.0 
3,Chicago,Illinois,2705994,2695598,0.39,227.3,588.72,11900,46002,"41.8376N,87.681W",594 ft (181 m),Lori Lightfoot (D),UTC−06:00 (Central),http://www.cityofchicago.org,17-14000,Chicagoan,(48.5%)(51.5%)," $53,006 "," $322,429 ", 107.2 
4,Houston,Texas,2325502,2100263,10.72,637.5,1651.12,3613,13952,"29.7866N,95.390W",80 ft (32 m),Sylvester Turner (D),UTC−6 (CST),http://www.houstontx.gov/,48-35000,Houstonian,(50.0%)(50.0%)," $47,793 "," $273,612 ", 94.0 
5,"Phoenix, Arizona",Arizona,1660272,1445632,14.85,517.6,1340.62,3120,12002,"33.5722N,112.090W","1,086 ft (331 m)",Kate Gallego,UTC−7 (MST (no DST)),http://www.phoenix.gov,04-55000,Phoenician,(49.6%)(50.4%)," $52,062 "," $268,098 ", 93.7 
6,Philadelphia,Pennsylvania,1584138,1526006,3.81,134.2,347.62,11683,45112,"40.0094N,75.133W",39 ft (12 m),Jim Kenney (D),UTC-5 (EST),http://www.phila.gov/,42-60000,Philadelphian,(47.4%)(52.6%)," $41,449 "," $195,207 ", 105.0 
7,San Antonio,Texas,1532233,1327407,15.43,461.0,1194.02,3238,12502,"29.4724N,98.525W",650 ft (198 m),Ron Nirenberg (I),UTC−6 (CST),http://www.sanantonio.gov/,"210 (majority), 830 (portions), 726",San Antonian,(49.5%)(50.5%)," $49,268 "," $176,188 ", 87.5 
8,San Diego,California,1425976,1307402,9.07,325.2,842.32,4325,16702,"32.8153N,117.135W",62 ft (19 m),Kevin Faulconer (R),UTC−8 (Pacific),http://www.sandiego.gov/,06-66000,San Diegan,(50.6%)(49.4%)," $71,481 "," $663,679 ", 138.0 
9,Dallas,Texas,1345047,1197816,12.29,340.9,882.92,3866,14932,"32.7933N,96.766W",430 ft (131 m),Mike Rawlings (D),UTC−6 (Central),http://www.dallascityhall.com/,48-19000,Dallasite,(49.7%)(50.3%)," $47,243 "," $299,275 ", 94.1 
10,"San Jose, California",California,1030119,945942,8.90,177.5,459.72,5777,22312,"37.2967N,121.818W",82 ft (25 m),Sam Liccardo (D),UTC−8 (Pacific Time Zone),http://www.sanjoseca.gov/,06-68000,San Josean(s)  Josefino/a(s),(50.8%)(49.2%)," $101,940 "," $860,173 ", 151.2 
11,"Austin, Texas",Texas,964254,790390,22.00,312.7,809.92,3031,11702,"30.3039N,97.754W","289 - 1,330 ft (88 - 405 m)",Steve Adler (D),UTC−6 (CST),http://www.austintexas.gov,48-05000,Austinite,(50.7%)(49.3%)," $66,697 "," $365,740 ", 95.6 
12,"Jacksonville, Florida",Florida,903889,821784,9.99,747.4,1935.82,1178,4552,"30.3369N,81.661W",16 ft (5 m),Lenny Curry (R),UTC−5 (Eastern (EST)),http://www.coj.net,12-35000,"Jacksonvillian, Jaxson",(48.5%)(51.5%)," $51,298 "," $204,156 ", 88.3 
13,"Fort Worth, Texas",Texas,895008,741206,20.75,342.9,888.12,2491,9622,"32.7815N,97.346W",653 ft (216 m),Betsy Price (R),UTC−6 (CST),http://www.fortworthtexas.gov/,48-27000,Fort Worther,(49.3%)(50.7%)," $56,428 "," $193,941 ", 93.9 
14,"Columbus, Ohio",Ohio,892533,787033,13.40,218.5,565.92,3936,15202,"39.9852N,82.984W",902 ft (275 m),Andrew J. Ginther (D),UTC-5 (EST),http://www.columbus.gov/,39-18000,Columbusite,(48.7%)(51.3%)," $49,602 "," $161,528 ", 95.7 
15,San Francisco,California,883305,805235,9.70,46.9,121.52,18569,71702,"37.7272N,123.032W",52 ft (16 m),London Breed (D),UTC−8 (Pacific Time Zone),http://sf.gov/,06-67000,San FranciscanSan Francisqueño/a,(51.0%)(49.0%)," $103,801 "," over $1,000,000 ", 169.8 
16,"Charlotte, North Carolina",North Carolina,872498,731424,19.29,305.4,791.02,2757,10642,"35.2078N,80.831W",761 ft (232 m),Vi Lyles (D),UTC−5 (EST),http://charlottenc.gov,37-12000,Charlottean,(47.9%)(52.1%)," $61,017 "," $299,083 ", 92.9 
